Reaction	In-Pathway	Names
COBINPGUANYLYLTRANS-RXN	COBALSYN-PWY // PWY-7962 // PWY-7971	superpathway of adenosylcobalamin salvage from cobinamide I // adenosylcobinamide-GDP biosynthesis from cobyrinate <i>a,c</i>-diamide // adenosylcobinamide-GDP salvage from cobinamide I
1.1.1.264-RXN	IDNCAT-PWY	L-idonate degradation // L-idonic acid catabolism // L-idonate catabolism
RXN-7743	PWY-5101	L-isoleucine biosynthesis II
RXN-18796	PWY-5296	thiosulfate oxidation III (multienzyme complex) // Sox enzyme system // Paracoccus sulfur oxidation pathway // PSO pathway
DCTP-PYROPHOSPHATASE-RXN	PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation
RXNN-404	PWY-5025	indole-3-acetate biosynthesis IV (bacteria) // IAA biosynthesis IV (bacteria) // indole-3-acetic acid biosynthesis IV (bacteria)
RXN-5901	PWY1-3 // PWY-5741	polyhydroxybutanoate biosynthesis // PHB biosynthesis // polyhydroxybutyrate biosynthesis // ethylmalonyl-CoA pathway // ethylmalonyl pathway
DARAB5PISOM-RXN	PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis // CMP-Kdo biosynthesis I
RXN-20718		
GCVP-RXN	GLYCLEAV-PWY // GCVMULTI-RXN	glycine cleavage // glycine cleavage system // glycine decarboxylase complex // gcv system // glycine cleavage complex
ALLANTOICASE-RXN	PWY-5697	allantoin degradation to ureidoglycolate I (urea producing)
RXN-22026	PWY-8203	8-amino-7-oxononanoate biosynthesis IV // 7-keto-8-aminopelargonate biosynthesis IV
RXN-12567	PWY0-1337	oleate &beta;-oxidation
RXN-9660	PWY-5971	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm)
NADPYROPHOSPHAT-RXN		
GPH-RXN		
RXN-15261		
RXN0-6515		
RXN-13617	PWY0-1337	oleate &beta;-oxidation
3.1.1.77-RXN		
RXN-18693		
DUTP-PYROP-RXN	PWY-7206 // PWY-6545	pyrimidine deoxyribonucleotides dephosphorylation // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III
XYLISOM-RXN	XYLCAT-PWY	D-xylose degradation I // D-xylose catabolism
MERCAPYSTRANS-RXN	PWY-5329	L-cysteine degradation III // hydrogen sulfide biosynthesis I
RXN-9515	PWY-8279 // PWY-7388	palmitate biosynthesis III // octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast) // octanoyl-ACP biosynthesis (mitochondria, yeast)
RXN-20787	PWY-8073	lipid IV<sub>A</sub> biosynthesis (<i>P. putida</i>) // lipid-A-precursor biosynthesis (<i>P. putida</i>)
ALLANTOINASE-RXN	PWY-5697 // PWY-5698	allantoin degradation to ureidoglycolate I (urea producing) // allantoin degradation to ureidoglycolate II (ammonia producing)
DADPKIN-RXN	PWY-7227	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis I
RXN0-6575	PWY-6703	preQ<sub>0</sub> biosynthesis // deazapurine biosynthesis // 7-cyano-7-deazaguanine biosynthesis // 7-cyano-7-carbaguanine biosynthesis
RXN-8340	PWY-6823	molybdopterin biosynthesis
DAHPSYN-RXN	PWY-6164	3-dehydroquinate biosynthesis I
MALIC-NADP-RXN	GLUCONEO-PWY	gluconeogenesis I
2-OCTAPRENYLPHENOL-HYDROX-RXN	PWY-6708	ubiquinol-8 biosynthesis (early decarboxylation) // ubiquinone-8 biosynthesis (prokaryotic) // ubiquinol-8 biosynthesis (prokaryotic)
ADOMET-DMK-METHYLTRANSFER-RXN	MENAQUINONESYN-PWY	menaquinol-8 biosynthesis // vitamin K<sub>2</sub> biosynthesis I // menaquinone-8 biosynthesis
RXN0-6721		
THYMIDYLATESYN-RXN	1CMET2-PWY // PWY-7199	folate transformations III (<i>E. coli</i>) // <i>N</i><sup>10</sup>-formyl-THF biosynthesis // <i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis // pyrimidine deoxyribonucleosides salvage
RXN-20000	PWY0-1599	periplasmic disulfide bond formation
SEDOBISALDOL-RXN		
RXN-9661	PWY-5971	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm)
RXN-9518	PWY-5971 // PWY-8279 // PWY-7388	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III // octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast) // octanoyl-ACP biosynthesis (mitochondria, yeast)
RXN-13179	PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I // vitamin B<sub>6</sub> biosynthesis // deoxyxylulose-dependent pyridoxal 5'-phosphate biosynthesis
RXN-8348	PWY-8171	molybdenum cofactor biosynthesis // moco biosynthesis // molybdopterin biosynthesis
RXN0-7080		
ADENPHOSPHOR-RXN	P121-PWY // PWY0-1296 // PWY-6609	adenine and adenosine salvage I // purine salvage // salvage pathway of adenosine nucleosides // adenosine nucleosides salvage I // purine ribonucleosides degradation // adenine and adenosine salvage III // adenosine nucleotides salvage III
RXN-17900	GLUTAMIDOTRANS-RXN	imidazole glycerol phosphate synthase cyclase subunit // Imidazole glycerol phosphate synthase cyclase subunit (EC 4.1.3.-) // Imidazole glycerol phosphate synthase amidotransferase subunit (EC 2.4.2.-)
DIHYDROOROT-RXN	PWY-5686	UMP biosynthesis I // uridine-5'-phosphate biosynthesis I // <i>de novo</i> biosynthesis of uridine-5'-phosphate I // <i>de novo</i> biosynthesis of uridine-5'-monophosphate I
TETRAACYLDISACC4KIN-RXN	NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>) // lipid-A-precursor biosynthesis (<i>E. coli</i>)
CYSTATHIONINE-BETA-SYNTHASE-RXN	HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine) // L-homocysteine degradation
RXN-17958	PWY-7807	glyphosate degradation III // glyphosate C-P lyase enzyme system
RXN-1961		
RXN-17954	PWY-7805	(aminomethyl)phosphonate degradation
RXN-12196	PWY-7185	UTP and CTP dephosphorylation I // pyrimidine nucleotides dephosphorylation
RXN-14047		
RXN-13163		
RXN-13824	PWY-7376 // 2.1.1.132-RXN	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)
GLYOHMETRANS-RXN	GLYSYN-PWY // 1CMET2-PWY // PWY-2161 // PWY-3661	glycine biosynthesis I // folate transformations III (<i>E. coli</i>) // <i>N</i><sup>10</sup>-formyl-THF biosynthesis // <i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis // folate polyglutamylation // glycine betaine degradation I
RXN-11063		
RXN-11592		
RXN0-2142	PWY0-862	(5Z)-dodecenoate biosynthesis I // (5Z)-dodec-5-enoate biosynthesis I // <i>cis</i>-dodecenoate biosynthesis I
RXN-15121	PWY-701 // PWY-5437 // ILEUSYN-PWY // METHIONINE-GAMMA-LYASE-RXN // THREDEHYD-RXN // RXN-15130 // HOMOSERDEAM-RXN	L-methionine degradation II // L-threonine degradation I // L-isoleucine biosynthesis I (from threonine)
RXN-12798		
RXN-9550	PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) // palmitoleic acid biosynthesis I // palmitoleate biosynthesis (anaerobic)
HOMSUCTRAN-RXN		
RXN-9386	PWY-5921	glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation
ALLOPHANATE-HYDROLASE-RXN		
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	PWY-6387 // PWY0-1261	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing) // anhydromuropeptides recycling I // 1,6-anhydro-<i>N</i>-acetylmuramic acid recycling I // cell wall recycling I
RXN-22591		
NADH-DEHYDROGENASE-QUINONE-RXN		
RXN0-5199	PWY-6608 // PWY0-1296 // PWY-6620	guanosine nucleotides degradation III // purine ribonucleosides degradation // guanine and guanosine salvage I
RXN-9542	PWY-8279	palmitate biosynthesis III
PHENYLALANINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY	tRNA charging
RXN0-5234		
PROTOHEMEFERROCHELAT-RXN	HEME-BIOSYNTHESIS-II // HEMESYN2-PWY	heme <i>b</i> biosynthesis I (aerobic) // heme <i>b</i> biosynthesis II (oxygen-independent)
DIHYDROXYMETVALDEHYDRAT-RXN	ILEUSYN-PWY // PWY-5101	L-isoleucine biosynthesis I (from threonine) // L-isoleucine biosynthesis II
RXN-11852		
RXN-12019	PWY-6683	assimilatory sulfate reduction III
PHOSPHASERDECARB-RXN	PWY-5669	phosphatidylserine and phosphatidylethanolamine biosynthesis I
GLUTATHIONE-PEROXIDASE-RXN	DETOX1-PWY-1 // PWY-4081	reactive oxygen species degradation // removal of superoxide radicals // glutathione-peroxide redox reactions
ALANINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY	tRNA charging
ADPREDUCT-RXN	PWY-7227	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis I
RXN-14725		
DTDPKIN-RXN	PWY-7197 // PWY-6545	pyrimidine deoxyribonucleotide phosphorylation // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III
RXN-14315	PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)
ALARACECAT-RXN	PWY-8072	alanine racemization
3-OXOADIPATE-ENOL-LACTONASE-RXN	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway) // protocatechuate branch of the 3-oxoadipate pathway // protocatechuate branch of the 3-ketoadipate pathway // protocatechuate branch of the &beta;-ketoadipate pathway // protocatechuate degradation via ortho-cleavage // protocatechuate degradation via the &beta;-ketoadipate pathway // protocatechuate 3,4-cleavage
RXN0-2361	PWY0-1261	anhydromuropeptides recycling I // 1,6-anhydro-<i>N</i>-acetylmuramic acid recycling I // cell wall recycling I
NITRILE-HYDRATASE-RXN		
RXN-12002	PWY-7176	UTP and CTP <i>de novo</i> biosynthesis
RXN-18702	MERCAPYSTRANS-RXN	
RXN-21024	RXN-982	
DIHYDLIPACETRANS-RXN		
RXN-16456	PWY-7639 // RXN-21601	bis(guanylyl molybdenum cofactor) biosynthesis // bisMGD biosynthesis // bis-MPT guanine dinucleotide cofactor biosynthesis
RXN-9758		
CPM-KDOSYNTH-RXN	PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis // CMP-Kdo biosynthesis I
GABATRANSAM-RXN	PWY-6536 // PWY-6535	4-aminobutanoate degradation III // &gamma;-amino-butyrate shunt // GABA degradation // 4-aminobutyrate degradation III // 4-aminobutanoic acid degradation III // 4-aminobutanoate degradation I // 4-aminobutyrate degradation I // 4-aminobutanoic acid degradation I
RXN0-2042	PWY0-321	phenylacetate degradation I (aerobic)
RXN0-6427	PPGPPMET-PWY	ppGpp metabolism // guanosine 3'-diphosphate 5'-diphosphate biosynthesis // ppGpp biosynthesis
RXN-18201	RXNQT-4178	
4.2.1.58-RXN	PWY-5971 // PWY-8279 // PWY-7388	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III // octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast) // octanoyl-ACP biosynthesis (mitochondria, yeast)
DEOXYINOPHOSPHOR-RXN	PWY-7179	purine deoxyribonucleosides degradation I
RXN-20994		
RXN-8960	PWY-5741	ethylmalonyl-CoA pathway // ethylmalonyl pathway
RXN-17884	PWY-7798	protein <i>S</i>-nitrosylation and denitrosylation
DTMPKI-RXN	PWY-7197 // PWY-6545	pyrimidine deoxyribonucleotide phosphorylation // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III
RXN-9222		
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN	NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis (<i>E. coli</i>) // lipid-A-precursor biosynthesis (<i>E. coli</i>)
RXN-22317		
RXN0-1147	PWY-5084 // 2OXOGLUTARATEDEH-RXN	2-oxoglutarate decarboxylation to succinyl-CoA // 2-oxoglutarate dehydrogenase complex // 2-ketoglutarate dehydrogenase complex // 2-oxoglutarate dehydrogenase system // 2-ketoglutarate dehydrogenase system // &alpha;-ketoglutarate dehydrogenase system // 2-oxoglutarate dehydrogenation // &alpha;-ketoglutarate oxidative decarboxylation
RXN0-6483	PWY0-1479	tRNA processing
2.6.1.57-RXN		
RXN-12613	PWY-6899	base-degraded thiamine salvage // formylaminopyrimidine salvage // base-degraded thiamin salvage
RXN-11633		
RXN-12754	PWY-6938-1	NADH repair (prokaryotes)
RXN-16062	PWY-5101	L-isoleucine biosynthesis II
RXN-14113		
GDPREDUCT-RXN	PWY-7226	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	PWY-6535	4-aminobutanoate degradation I // &gamma;-amino-butyrate shunt // GABA degradation // 4-aminobutyrate degradation I // 4-aminobutanoic acid degradation I
RXN-11179	PWY-6420	pyrroloquinoline quinone biosynthesis // PQQ biosynthesis
4OH2OXOGLUTARALDOL-RXN		
R125-RXN		
RXN-10814	PHESYN	L-phenylalanine biosynthesis I
RXN-14812		
RXN-22319		
RXN-22915	P-PANTOCYSLIG-RXN	
RXN-22697	RXN-22698	
DEOXYRIBOSE-P-ALD-RXN	PWY-7180	2-deoxy-&alpha;-D-ribose 1-phosphate degradation
PGLUCONDEHYDRAT-RXN	ENTNER-DOUDOROFF-PWY	Entner-Doudoroff shunt
CHD-RXN	BETSYN-PWY // CHOLINE-BETAINE-ANA-PWY	glycine betaine biosynthesis I (Gram-negative bacteria) // choline degradation I // choline betaine anabolism
RXN-9549	PWY-5971 // PWY-8279	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III
RXN0-5131		
RXN-11738	PWY-6638	sulfolactate degradation III
RXN0-6484	PWY0-1479	tRNA processing
RXN-9532	PWY-5971 // PWY-8279	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm) // palmitate biosynthesis III
ADENOSINE-KINASE-RXN	PWY-6619	adenine and adenosine salvage VI
RXN-20678	PWY0-1337	oleate &beta;-oxidation
RXN-9663	PWY-5971	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm)
3.3.2.5-RXN		
RXN-8766	PWY-7377	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)
RXN-14116	PROUT-PWY // ARGASEDEG-PWY	L-proline degradation I // L-proline utilization // L-arginine degradation I (arginase pathway) // L-arginase degradative pathway // L-glutamate biosynthesis
RXNI-2		
RXN0-742	PWY-6123	inosine-5'-phosphate biosynthesis I // IMP biosynthesis I
KDO-8PPHOSPHAT-RXN	PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis // CMP-Kdo biosynthesis I
GLUTAMINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY	tRNA charging
RXN-12104	PWY-6700	queuosine biosynthesis I (<i>de novo</i>)
SHIKIMATE-KINASE-RXN	PWY-6163	chorismate biosynthesis from 3-dehydroquinate
DIHYDROXYISOVALDEHYDRAT-RXN	VALSYN-PWY	L-valine biosynthesis
RXN-11397	PWY-6502	8-oxo-(d)GTP detoxification I // oxidized GTP and dGTP detoxification I // oxidized guanosine triphosphate and deoxyguanosine triphosphate detoxification I // 8-oxo-7,8-dihydro-guanosine-triphosphate and 8-oxo-7,8-dihydro-deoxyguanosine-triphosphate I
RXN-20406		
HEXOKINASE-RXN		
ALDOSE-1-EPIMERASE-RXN		
3.3.2.2-RXN		
RXN0-300		
CARBPSYN-RXN	ARGSYN-PWY // PWY-5686 // ARGSYNBSUB-PWY	L-arginine biosynthesis I (via L-ornithine) // UMP biosynthesis I // uridine-5'-phosphate biosynthesis I // <i>de novo</i> biosynthesis of uridine-5'-phosphate I // <i>de novo</i> biosynthesis of uridine-5'-monophosphate I // L-arginine biosynthesis II (acetyl cycle)
RXN-18510		
RXN-21228		
HISTPRATPHYD-RXN	HISTSYN-PWY	L-histidine biosynthesis
RIBOPHOSPHAT-RXN	RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants) // riboflavin, FMN and FAD biosynthesis // vitamin B<sub>2</sub> biosynthesis
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	PWY0-1319	CDP-diacylglycerol biosynthesis II
2-ISOPROPYLMALATESYN-RXN	LEUSYN-PWY	L-leucine biosynthesis
FUMARYLACETOACETASE-RXN	TYRFUMCAT-PWY	L-tyrosine degradation I // tyrosine fumarate catabolism
RXN-14270		
RXN-19308	PWY-7964	adeninyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP // <i>Co</i>&alpha;-[a-(adenin-9-yl)]-<i>Co</i>&beta;-adenosylcobamide biosynthesis from adenosylcobinamide-GDP // pseudo-adenosyl cobamide biosynthesis from adenosylcobinamide-GDP
RXN-22480	PWY-8283	lipid IV<sub>A</sub> biosynthesis (generic) // lipid-A-precursor biosynthesis (generic)
ADENPRIBOSYLTRAN-RXN	PWY-7807 // PWY-7805 // P121-PWY // PWY-6610	glyphosate degradation III // glyphosate C-P lyase enzyme system // (aminomethyl)phosphonate degradation // adenine and adenosine salvage I // purine salvage // salvage pathway of adenosine nucleosides // adenosine nucleosides salvage I // adenine salvage
SARCOX-RXN	PWY-3661	glycine betaine degradation I
HISTAMINOTRANS-RXN	HISTSYN-PWY	L-histidine biosynthesis
RXN-13329		
RXN-20456	PWY-8136	NADPH repair (prokaryotes)
RXN-17881		
HOMOCYSMET-RXN	PWY-5041	<i>S</i>-adenosyl-L-methionine salvage II // activated methyl cycle // SAM cycle // <i>S</i>-adenosyl-L-methionine cycle II
ERYTH4PDEHYDROG-RXN	PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I // vitamin B<sub>6</sub> biosynthesis // deoxyxylulose-dependent pyridoxal 5'-phosphate biosynthesis
2.1.1.63-RXN		
MALATE-DEH-RXN	GLUCONEO-PWY // TCA // 1.1.1.39-RXN	gluconeogenesis I // TCA cycle I (prokaryotic) // tricarboxylic acid cycle // citric acid cycle // Krebs cycle // Szent-Gyorgyi-Krebs cycle
THRESYN-RXN	HOMOSER-THRESYN-PWY	L-threonine biosynthesis
PYRNUTRANSHYDROGEN-RXN		
UROPORIIIMETHYLTRANSA-RXN	PWY-7377 // PWY-7376 // RXN-13403	cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion) // cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)
URACIL-PRIBOSYLTRANS-RXN	PWY-7183	pyrimidine nucleobases salvage I // uracil salvage
GLUTCYSLIG-RXN	GLUTATHIONESYN-PWY	glutathione biosynthesis
RXN-11811		
3.1.22.4-RXN		
6PGLUCONOLACT-RXN	PWY-8004 // OXIDATIVEPENT-PWY	Entner-Doudoroff pathway I // ED pathway I // pentose phosphate pathway (oxidative branch) I
DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN		
IMP-DEHYDROG-RXN	PWY-5695 // PWY-7221	inosine 5'-phosphate degradation // IMP degradation // urate biosynthesis // guanosine ribonucleotides <i>de novo</i> biosynthesis
RXN-20896		
RXNQT-4174		
ACYLCOADEHYDROG-RXN	FAO-PWY	fatty acid &beta;-oxidation I (generic)
RXN-9544		
MANNONOXIDOREDUCT-RXN	PWY-7242	D-fructuronate degradation
SAICARSYN-RXN	PWY-6123	inosine-5'-phosphate biosynthesis I // IMP biosynthesis I
RXN-18459		
RXN-22742	PWY-3661	glycine betaine degradation I
UDPNACETYLMURAMATEDEHYDROG-RXN	PWY-6387 // PWY0-1261	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing) // anhydromuropeptides recycling I // 1,6-anhydro-<i>N</i>-acetylmuramic acid recycling I // cell wall recycling I
RXN0-5462		
METHENYLTHFCYCLOHYDRO-RXN	PWY-1722 // 1CMET2-PWY // PWY-6613 // PWY-8303	formate assimilation into 5,10-methylenetetrahydrofolate // folate transformations III (<i>E. coli</i>) // <i>N</i><sup>10</sup>-formyl-THF biosynthesis // <i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis // tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate // folic acid salvage // folate salvage // THF salvage // reductive glycine pathway of autotrophic CO<sub>2</sub> fixation // carbon fixation VI // glycine synthase-reductase pathway
1.3.1.2-RXN	PWY-3982	uracil degradation I (reductive) // &beta;-alanine biosynthesis
RXN-15509	RXN-15513	
RXN-9548	PWY-8280	stearate biosynthesis IV // stearic acid biosynthesis IV
RXN-6263		
RXN-16660	PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
RXN-16650	PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
RXN-12867	PWY-6932	selenate reduction // selenium metabolism // selenium assimilation
3-ISOPROPYLMALDEHYDROG-RXN	LEUSYN-PWY // RXN-13158	L-leucine biosynthesis
PROTOPORGENOXI-RXN	HEME-BIOSYNTHESIS-II	heme <i>b</i> biosynthesis I (aerobic)
RXN-12614	PWY-6891	thiazole component of thiamine diphosphate biosynthesis II // 2-(2-carboxy-4-methylthiazol-5-yl)ethyl phosphate biosynthesis
RXN-9659	PWY-5971	palmitate biosynthesis II (type II fatty acid synthase) // palmitate biosynthesis II (bacteria and plant cytoplasm)
RXN-9788	PWY-6892	thiazole component of thiamine diphosphate biosynthesis I // (<i>R,Z</i>)-2-(2-carboxy-4-methylthiazol-5(2<i>H</i>)-ylidene)ethyl phosphate biosynthesis
RXN0-6259	HEMESYN2-PWY	heme <i>b</i> biosynthesis II (oxygen-independent)
RXN-21295	PWY-8168	<i>bis</i>(guanylyl tungstenpterin) cofactor biosynthesis
RXN-22483	PWY-8283	lipid IV<sub>A</sub> biosynthesis (generic) // lipid-A-precursor biosynthesis (generic)
ARGININE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY	tRNA charging
MALATE-DEHYDROGENASE-ACCEPTOR-RXN	TCA	TCA cycle I (prokaryotic) // tricarboxylic acid cycle // citric acid cycle // Krebs cycle // Szent-Gyorgyi-Krebs cycle
GLU6PDEHYDROG-RXN	PWY-8004 // PWY-7268 // OXIDATIVEPENT-PWY	Entner-Doudoroff pathway I // ED pathway I // cytosolic NADPH production (yeast) // pentose phosphate pathway (oxidative branch) I
RXN0-2921	PWY-2161	folate polyglutamylation
RXN-7908		
RXN-16691	PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
RXN-14192		
RXN-16685	PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
ALLANTOATE-DEIMINASE-RXN	PWY-5698	allantoin degradation to ureidoglycolate II (ammonia producing)
RXN-3641	PWY-2361 // PWY0-321 // PWY-1361	3-oxoadipate degradation // &beta;-ketoadipate degradation // phenylacetate degradation I (aerobic) // benzoyl-CoA degradation I (aerobic)
3-OXOACID-COA-TRANSFERASE-RXN		
RXN-17779	PWY0-1337	oleate &beta;-oxidation
RXN-17778	PWY0-1337	oleate &beta;-oxidation
GLUTAMATESYN-RXN	GLUTAMINEFUM-PWY	L-glutamine degradation II
ACONITATEHYDR-RXN	TCA // RXN-14047	TCA cycle I (prokaryotic) // tricarboxylic acid cycle // citric acid cycle // Krebs cycle // Szent-Gyorgyi-Krebs cycle
RXN-7587		
RXN-22715		
PRODISULFREDUCT-A-RXN	GLUT-REDOX-PWY // PRODISULFREDUCT-RXN	glutathione-glutaredoxin redox reactions
RXN-22740		
RXN-14064		
RXN-12900	PWY-6968	trimethylamine degradation
RXN0-5398	PWY-6019	pseudouridine degradation
RXN-19022		
RXN-21522	PWY-8159	dipyrromethane cofactor biosynthesis
RXN-17824		
RXN-14063		
RXN-12197	PWY-7185	UTP and CTP dephosphorylation I // pyrimidine nucleotides dephosphorylation
AIRCARBOXY-RXN		
TRYPTOPHAN-AMINOTRANSFERASE-RXN		
GLYCERATE-DEHYDROGENASE-RXN		
RXN-15123	PWY-701 // PWY-5437 // ILEUSYN-PWY // METHIONINE-GAMMA-LYASE-RXN // THREDEHYD-RXN // RXN-15130 // HOMOSERDEAM-RXN	L-methionine degradation II // L-threonine degradation I // L-isoleucine biosynthesis I (from threonine)
CYSTEINE--TRNA-LIGASE-RXN	TRNA-CHARGING-PWY	tRNA charging
KDO-8PSYNTH-RXN	PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis // CMP-Kdo biosynthesis I
RXN-13142	PWY-8136	NADPH repair (prokaryotes)
RXN-18032		
RXN-11368		
RXN-20673	3-DEHYDROQUINATE-SYNTHASE-RXN	
KYNURENINE-3-MONOOXYGENASE-RXN	PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde
RXN0-7271	GLUT-REDOX-PWY // PRODISULFREDUCT-RXN	glutathione-glutaredoxin redox reactions
OHACYL-COA-DEHYDROG-RXN	FAO-PWY	fatty acid &beta;-oxidation I (generic)
RXN-14904		
RXN-13826	PWY-7376 // 2.1.1.132-RXN	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)
TRIMETHYLAMINE-OXIDE-ALDOLASE-RXN	PWY-6968	trimethylamine degradation
RXN-16664	PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)
RXN-17608		
NAD-KIN-RXN	PWY-8148 // PWY-7268	NADP biosynthesis // cytosolic NADPH production (yeast)
RXN-12625		
1.13.11.15-RXN		
METHYLMALONYL-COA-EPIM-RXN	PROPIONMET-PWY	propanoyl CoA degradation I // propionyl CoA degradation I // methylmalonyl pathway
RXN-16129		
RXN-21527	OHMETHYLBILANESYN-RXN	
CATAL-RXN	DETOX1-PWY-1 // DETOX1-PWY	reactive oxygen species degradation // removal of superoxide radicals // superoxide radicals degradation
RXN-7745	PWY-5101	L-isoleucine biosynthesis II
SERINE-O-ACETTRAN-RXN	CYSTSYN-PWY	L-cysteine biosynthesis I
QUINOLINATE-SYNTHA-RXN	PYRIDNUCSYN-PWY // PWY-8277	NAD <i>de novo</i> biosynthesis I (from aspartate) // nicotinamide adenine dinucleotide biosynthesis // NAD <i>de novo</i> biosynthesis IV (anaerobic)
RXN-14381	PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis // [Fe-S] cluster biosynthesis // [2Fe-2S] cluster biosynthesis
PRTRANS-RXN	TRPSYN-PWY	L-tryptophan biosynthesis
GLUCOSE-6-PHOSPHATE-1-EPIMERASE-RXN		
GDPPYPHOSKIN-RXN	PPGPPMET-PWY	ppGpp metabolism // guanosine 3'-diphosphate 5'-diphosphate biosynthesis // ppGpp biosynthesis
RXN-22735	CARBPSYN-RXN	
GLUTAMINESYN-RXN	AMMASSIM-PWY // PWY-8291 // PWY-8294	ammonia assimilation cycle III // ammonia assimilation III // GS/GOGAT pathway // L-aspartate degradation II (aerobic) // L-aspartate degradation III (anaerobic)
RXN-14809		
UDPREDUCT-RXN	PWY-6545	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III
SULFITE-DEHYDROGENASE-RXN	PWY-5276	sulfite oxidation I
PYRUVATE-CARBOXYLASE-RXN		
RXN-8771	PWY-5523	5,6-dimethylbenzimidazole biosynthesis I (aerobic) // DMB biosynthesis I
3.8.1.11-RXN		
ACETOOHBUTSYN-RXN	ILEUSYN-PWY // PWY-5101	L-isoleucine biosynthesis I (from threonine) // L-isoleucine biosynthesis II
RXN-14986		
6.3.1.10-RXN		
RXN-18031		
