#
#  rpom246200cyc 24.0 Reactions link table generated on Mon Apr 20, 2020
#
LYSINE--TRNA-LIGASE-RXN	EC-6.1.1.6
RXN-17955	EC-3.6.1.63
RXN-12140	
RXN-17016	EC-2.3.1.15
RXN-18082	EC-3.2.1.52
ALANINE--TRNA-LIGASE-RXN	EC-6.1.1.7
HOMOSERDEHYDROG-RXN	EC-1.1.1.3
ALKANE-1-MONOOXYGENASE-RXN	EC-1.14.15.3
RXN-15085	EC-2.7.1.207
ACETATEKIN-RXN	EC-2.7.2.1
RXN-16627	EC-4.2.1.59
TRANS-RXN1G48-5	
RXN-12720	EC-2.7.7.4
ACETOLACTREDUCTOISOM-RXN	EC-1.1.1.86
RXN0-743	EC-5.4.99.18
RXN-11836	EC-5.4.99.22
D-PPENTOMUT-RXN	EC-5.4.2.7
SUCCCOASYN-RXN	EC-6.2.1.5
PSEUDOURIDINE-KINASE-RXN	EC-2.7.1.83
RXN-9558	EC-1.3.1.9
RXN-16117	EC-2.3.1.15
DEOXYRIBOSE-P-ALD-RXN	EC-4.1.2.4
RXN-1381	EC-2.3.1.15
RXN1A0-6303	EC-1.3.1
RXN-12745	EC-2.3.1
STRICTOSIDINE-SYNTHASE-RXN	EC-4.3.3.2
RXN-7909	EC-1.5.1
1.1.1.39-RXN	EC-1.1.1.38	EC-1.1.1.39
RXN-13583	
RXN-17920	
RXN1G48-21	
RXN-14725	EC-4.2.1.84
RXN-16946	EC-3.7.1.23
RXN-13319	
RXN-17133	EC-3.9.1.3
RXN-18511	EC-2.7.7.2
CARBODEHYDRAT-RXN	EC-4.2.1.1
1.2.1.25-RXN	EC-1.2.1.25
RXN0-6382	EC-3.6.1.66
GLUTACONYL-COA-DECARBOXYLASE-RXN	EC-4.1.1.70
RXN1G48-4	
ENOYL-ACP-REDUCT-NADH-RXN	EC-1.3.1.9
RXN66-342	EC-1.1.1.145
UROGENIIISYN-RXN	EC-4.2.1.75
RXN-1126	EC-6.2.1.12
ACONITATEDEHYDR-RXN	
